id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Drive,The Sundials,r&b,romantic,0.58,95,0.88,0.72,0.30
12,Basement Cypher,Chain Reaction,hip-hop,energetic,0.85,98,0.62,0.91,0.08
13,Empty Streets,Vera Hollow,blues,sad,0.31,67,0.22,0.38,0.83
14,Neon Jungle,Static City,electronic,intense,0.94,140,0.53,0.87,0.04
15,Rainy Window,Clara Fenn,classical,melancholic,0.20,58,0.31,0.22,0.97
16,Backyard Bonfire,The Drifters,country,nostalgic,0.55,104,0.76,0.65,0.74
17,Pulse of the City,Groovetek,funk,uplifting,0.79,112,0.90,0.93,0.11
18,Velvet Soul,Mara Jones,soul,romantic,0.48,85,0.83,0.61,0.55
19,Iron Curtain,Dread Machine,metal,angry,0.97,168,0.18,0.52,0.06
20,Island Drift,Coco Waves,reggae,dreamy,0.44,82,0.74,0.68,0.62
21,Lagos Bounce,Ayo Siren,afrobeats,happy,0.86,107,0.91,0.94,0.12
22,Sunset Afro,Kofi Waves,afrobeats,energetic,0.80,112,0.85,0.90,0.09
23,Jozi Breeze,Lelo & The Keys,amapiano,chill,0.62,113,0.72,0.88,0.18
24,Piano Ya Bana,Dlala Thukzin,amapiano,uplifting,0.68,110,0.79,0.92,0.14
25,Afro Midnight,Tunde Echo,afrobeats,romantic,0.74,103,0.83,0.86,0.16
